past_race_id_str,past_date,past_venue,course_type,distance,use_flag,note,netkeiba_en_url
202205040911,2022-10-30,東京,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202205040911
202209040911,2022-10-30,阪神,芝,1800,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202209040911
202205050812,2022-11-27,東京,芝,2400,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202205050812
202207060311,2022-12-10,中京,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202207060311
202306010811,2023-01-22,中山,芝,2200,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202306010811
202306020411,2023-03-05,中山,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202306020411
202307020211,2023-03-12,中京,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202307020211
202309020411,2023-04-02,阪神,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202309020411
202306030811,2023-04-16,中山,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202306030811
202305021211,2023-05-28,東京,芝,2400,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202305021211
202306040511,2023-09-18,中山,芝,2200,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202306040511
202306040711,2023-09-24,中山,芝,2200,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202306040711
202308020311,2023-10-09,京都,芝,2400,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202308020311
202305040310,2023-10-09,東京,芝,2400,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202305040310
202305040611,2023-10-21,東京,芝,1600,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202305040611
202308020711,2023-10-22,京都,芝,3000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202308020711
202305040911,2023-10-29,東京,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202305040911
202305050211,2023-11-05,東京,芝,2500,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202305050211
202305050610,2023-11-19,東京,芝,1600,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202305050610
202309050111,2023-12-02,阪神,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202309050111
202306050811,2023-12-24,中山,芝,2500,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202306050811
202406010111,2024-01-06,中山,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202406010111
202406010711,2024-01-21,中山,芝,2200,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202406010711
202408020711,2024-02-17,京都,芝,1400,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202408020711
202410020411,2024-02-18,小倉,芝,1800,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202410020411
202406020211,2024-02-25,中山,芝,1800,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202406020211
202409010411,2024-03-03,阪神,芝,1800,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202409010411
202409010510,2024-03-09,阪神,芝,1800,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202409010510
202407010211,2024-03-10,中京,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202407010211
202406030111,2024-03-23,中山,芝,2500,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202406030111
202409020411,2024-03-31,阪神,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202409020411
202409020511,2024-04-06,阪神,芝,1600,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202409020511
202403010411,2024-04-14,福島,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202403010411
202408030411,2024-04-28,京都,芝,3200,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202408030411
202404010411,2024-05-05,新潟,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202404010411
202408030711,2024-05-11,京都,芝,1800,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202408030711
202408040111,2024-06-01,京都,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202408040111
202405030211,2024-06-02,東京,芝,1600,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202405030211
202408040511,2024-06-15,京都,芝,1600,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202408040511
202402011211,2024-07-14,函館,芝,2000,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202402011211
202401010411,2024-07-28,札幌,芝,1800,YES,2024 CLEAN Geometry v2 candidate,https://en.netkeiba.com/race/race_result.html?race_id=202401010411
202335100912,2023-10-09,盛岡,ダ,1600,NO,EXCLUDE_NAR,
202305050311,2023-11-11,東京,ダ,1600,NO,EXCLUDE_NON_TURF,
202307040211,2023-12-03,中京,ダ,1800,NO,EXCLUDE_NON_TURF,
202344122909,2023-12-29,大井,ダ,2000,NO,EXCLUDE_NAR,
202405010811,2024-02-18,東京,ダ,1600,NO,EXCLUDE_NON_TURF,
202401010611,2024-08-04,札幌,ダ,1700,NO,EXCLUDE_NON_TURF,
