race_id,source_url,distance,venue,n_laps,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16
202205040911,https://en.netkeiba.com/race/race_result.html?race_id=202205040911,2000,東京,10,12.6,12.6,10.9,11.2,11.3,11.4,11.6,11.8,11.6,12.4,,,,,,
202209040911,https://en.netkeiba.com/race/race_result.html?race_id=202209040911,1800,阪神,9,12.9,12.9,11.4,11.6,12.2,12.3,12.1,11.3,10.8,,,,,,,
202205050812,https://en.netkeiba.com/race/race_result.html?race_id=202205050812,2400,東京,12,12.8,12.8,11.2,12.3,12.5,12.3,12.2,12.4,12.1,11.7,11.4,11.3,,,,
202207060311,https://en.netkeiba.com/race/race_result.html?race_id=202207060311,2000,中京,10,12.7,12.7,11.3,13.2,12.7,12.0,11.3,11.1,11.2,11.5,,,,,,
202306010811,https://en.netkeiba.com/race/race_result.html?race_id=202306010811,2200,中山,11,12.2,12.2,11.4,12.7,12.5,12.5,12.0,12.6,12.4,11.9,11.3,,,,,
202306020411,https://en.netkeiba.com/race/race_result.html?race_id=202306020411,2000,中山,10,12.3,12.3,11.2,12.4,12.6,12.5,12.3,12.1,11.6,11.5,,,,,,
202307020211,https://en.netkeiba.com/race/race_result.html?race_id=202307020211,2000,中京,10,12.7,12.7,10.9,12.7,12.5,12.1,12.2,12.1,11.2,11.6,,,,,,
202309020411,https://en.netkeiba.com/race/race_result.html?race_id=202309020411,2000,阪神,10,12.4,12.4,10.9,12.2,12.0,11.4,11.7,11.5,11.4,11.4,,,,,,
202306030811,https://en.netkeiba.com/race/race_result.html?race_id=202306030811,2000,中山,10,12.3,12.3,10.9,11.9,11.6,11.8,12.4,12.5,12.7,12.5,,,,,,
202305021211,https://en.netkeiba.com/race/race_result.html?race_id=202305021211,2400,東京,12,12.6,12.6,10.7,12.0,12.6,12.5,12.4,12.8,12.4,11.9,11.6,11.9,,,,
202306040511,https://en.netkeiba.com/race/race_result.html?race_id=202306040511,2200,中山,11,12.1,12.1,10.9,12.2,12.5,12.4,12.5,12.3,12.1,11.7,11.7,,,,,
202306040711,https://en.netkeiba.com/race/race_result.html?race_id=202306040711,2200,中山,11,12.5,12.5,11.1,12.4,12.5,12.6,12.4,11.5,11.5,11.6,11.5,,,,,
202308020311,https://en.netkeiba.com/race/race_result.html?race_id=202308020311,2400,京都,12,12.8,12.8,11.7,12.0,12.5,12.6,12.0,11.9,12.3,11.6,11.7,12.0,,,,
202305040310,https://en.netkeiba.com/race/race_result.html?race_id=202305040310,2400,東京,12,12.8,12.8,11.1,12.0,12.3,12.1,11.9,12.0,12.1,12.1,11.9,11.8,,,,
202305040611,https://en.netkeiba.com/race/race_result.html?race_id=202305040611,1600,東京,8,12.0,12.0,10.8,11.2,11.2,11.5,11.4,11.7,,,,,,,,
202308020711,https://en.netkeiba.com/race/race_result.html?race_id=202308020711,3000,京都,15,12.7,12.7,11.7,11.1,12.3,12.6,12.9,13.1,13.0,12.8,12.3,12.1,11.6,11.7,11.4,
202305040911,https://en.netkeiba.com/race/race_result.html?race_id=202305040911,2000,東京,10,12.4,12.4,11.0,11.5,11.4,11.4,11.4,11.4,11.6,11.4,,,,,,
202305050211,https://en.netkeiba.com/race/race_result.html?race_id=202305050211,2500,東京,13,18.5,11.2,11.6,12.6,12.4,11.9,11.8,12.0,11.9,12.0,11.8,11.6,11.8,,,
202305050610,https://en.netkeiba.com/race/race_result.html?race_id=202305050610,1600,東京,8,13.1,13.1,12.0,12.5,12.3,11.9,10.9,10.8,,,,,,,,
202309050111,https://en.netkeiba.com/race/race_result.html?race_id=202309050111,2000,阪神,10,12.5,12.5,11.3,12.5,12.1,11.5,11.9,11.9,11.7,11.6,,,,,,
202306050811,https://en.netkeiba.com/race/race_result.html?race_id=202306050811,2500,中山,13,18.3,11.3,11.9,12.0,12.0,12.2,12.5,11.9,12.2,12.0,12.0,11.7,12.2,,,
202406010111,https://en.netkeiba.com/race/race_result.html?race_id=202406010111,2000,中山,10,12.3,12.3,11.0,12.8,12.0,12.4,11.8,11.8,11.7,11.4,,,,,,
202406010711,https://en.netkeiba.com/race/race_result.html?race_id=202406010711,2200,中山,11,12.8,12.8,11.7,12.6,12.5,12.6,12.3,12.2,12.1,12.2,12.5,,,,,
202408020711,https://en.netkeiba.com/race/race_result.html?race_id=202408020711,1400,京都,7,12.1,12.1,11.2,11.2,11.3,11.6,11.5,,,,,,,,,
202410020411,https://en.netkeiba.com/race/race_result.html?race_id=202410020411,1800,小倉,9,12.3,12.3,11.3,11.4,11.0,11.2,11.4,11.6,12.4,,,,,,,
202406020211,https://en.netkeiba.com/race/race_result.html?race_id=202406020211,1800,中山,9,12.7,12.7,11.2,11.7,11.6,11.4,11.9,12.5,12.3,,,,,,,
202409010411,https://en.netkeiba.com/race/race_result.html?race_id=202409010411,1800,阪神,9,12.4,12.4,10.7,11.5,11.9,12.1,12.0,11.4,11.5,,,,,,,
202409010510,https://en.netkeiba.com/race/race_result.html?race_id=202409010510,1800,阪神,9,12.6,12.6,11.5,11.7,12.1,12.0,11.6,11.2,11.2,,,,,,,
202407010211,https://en.netkeiba.com/race/race_result.html?race_id=202407010211,2000,中京,10,12.7,12.7,10.7,11.6,11.5,11.9,12.5,12.0,12.0,11.2,,,,,,
202406030111,https://en.netkeiba.com/race/race_result.html?race_id=202406030111,2500,中山,13,18.7,11.9,12.1,11.5,11.6,12.1,12.3,12.4,12.2,12.3,11.8,12.0,12.4,,,
202409020411,https://en.netkeiba.com/race/race_result.html?race_id=202409020411,2000,阪神,10,12.4,12.4,10.9,12.5,12.6,11.8,11.5,11.5,11.4,11.4,,,,,,
202409020511,https://en.netkeiba.com/race/race_result.html?race_id=202409020511,1600,阪神,8,12.6,12.6,11.1,11.7,12.0,12.1,11.3,10.8,,,,,,,,
202403010411,https://en.netkeiba.com/race/race_result.html?race_id=202403010411,2000,福島,10,12.3,12.3,11.3,11.6,12.6,12.2,11.9,11.3,11.7,11.8,,,,,,
202408030411,https://en.netkeiba.com/race/race_result.html?race_id=202408030411,3200,京都,16,12.8,12.8,11.7,12.1,11.5,11.6,11.5,12.2,12.9,12.8,12.6,12.5,12.8,11.9,11.7,11.6
202404010411,https://en.netkeiba.com/race/race_result.html?race_id=202404010411,2000,新潟,10,12.8,12.8,11.8,12.3,12.3,12.4,12.4,11.7,11.3,11.0,,,,,,
202408030711,https://en.netkeiba.com/race/race_result.html?race_id=202408030711,1800,京都,9,12.5,12.5,11.2,11.7,12.2,12.2,11.4,11.4,10.9,,,,,,,
202408040111,https://en.netkeiba.com/race/race_result.html?race_id=202408040111,2000,京都,10,12.2,12.2,11.1,11.6,11.9,11.9,12.3,11.8,11.4,11.6,,,,,,
