horse_id,horse_name,source_url,qc_status,ped_S,ped_SS,ped_SSS,ped_SSSS,ped_SSSSS,ped_SSSSD,ped_SSSD,ped_SSSDS,ped_SSSDD,ped_SSD,ped_SSDS,ped_SSDSS,ped_SSDSD,ped_SSDD,ped_SSDDS,ped_SSDDD,ped_SD,ped_SDS,ped_SDSS,ped_SDSSS,ped_SDSSD,ped_SDSD,ped_SDSDS,ped_SDSDD,ped_SDD,ped_SDDS,ped_SDDSS,ped_SDDSD,ped_SDDD,ped_SDDDS,ped_SDDDD,ped_D,ped_DS,ped_DSS,ped_DSSS,ped_DSSSS,ped_DSSSD,ped_DSSD,ped_DSSDS,ped_DSSDD,ped_DSD,ped_DSDS,ped_DSDSS,ped_DSDSD,ped_DSDD,ped_DSDDS,ped_DSDDD,ped_DD,ped_DDS,ped_DDSS,ped_DDSSS,ped_DDSSD,ped_DDSD,ped_DDSDS,ped_DDSDD,ped_DDD,ped_DDDS,ped_DDDSS,ped_DDDSD,ped_DDDD,ped_DDDDS,ped_DDDDD
2010105964,マイネルミラノ,https://db.netkeiba.com/horse/ped/2010105964/,PASS,ステイゴールド,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,ゴールデンサッシュ,ディクタス Dictus,Sanctus,Fine Top,Sanelta,Doronic,Worden,Dulzetta,ダイナサッシュ,ノーザンテースト,Northern Dancer,Lady Victoria,ロイヤルサッシュ,Princely Gift,Sash of Honour,パールバーリー Pearl Barley,Polish Precedent,Danzig,Northern Dancer,Nearctic,Natalma,Pas de Nom,Admiral's Voyage,Petitioner,Past Example,Buckpasser,Tom Fool,Busanda,Bold Example,ボールドラツド,Lady Be Good,Pearl Kite,Silver Hawk,Roberto,Hail to Reason,Bramalea,Gris Vitesse,Amerigo,Matchiche,Spur Wing,Storm Bird,Northern Dancer,South Ocean,Equal Change,Arts and Letters,Fairness
2010104298,ラブリーデイ,https://db.netkeiba.com/horse/ped/2010104298/,PASS,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Miesque,Nureyev,Northern Dancer,Special,Pasadoble,Prove Out,Santa Quilla,マンファス Manfath,ラストタイクーン Last Tycoon,トライマイベスト,Northern Dancer,Sex Appeal,Mill Princess,Mill Reef,Irish Lass,Pilot Bird,Blakeney,Hethersett,Windmill Girl,The Dancer,Green Dancer,Khazaeen,ポップコーンジャズ,ダンスインザダーク,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Cosmah,Wishing Well,Understanding,Mountain Flower,ダンシングキイ,Nijinsky,Northern Dancer,Flaming Page,Key Partner,Key to the Mint,Native Partner,グレイスルーマー,トニービン Tony Bin,カンパラ,Kalamoun,State Pension,Severn Bridge,Hornbeam,Priddy Fair,ディスクジョッキー,リアルシャダイ,Roberto,Desert Vixen,シャダイチャッター,ノーザンテースト,ペルースポート
2008105362,ナカヤマナイト,https://db.netkeiba.com/horse/ped/2008105362/,PASS,ステイゴールド,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,ゴールデンサッシュ,ディクタス Dictus,Sanctus,Fine Top,Sanelta,Doronic,Worden,Dulzetta,ダイナサッシュ,ノーザンテースト,Northern Dancer,Lady Victoria,ロイヤルサッシュ,Princely Gift,Sash of Honour,フィジーガール,カコイーシーズ Cacoethes,Alydar,Raise a Native,Native Dancer,Raise You,Sweet Tooth,On-And-On,Plum Cake,Careless Notion,Jester,Tom Fool,Golden Apple,Miss Uppity,Nasrullah,Nursery School,ツバキヒメ,マルゼンスキー,Nijinsky,Northern Dancer,Flaming Page,シル,Buckpasser,Quill,ヒルガオ,スティンティノ,Sheshoon,Cynara,ロージズデー,Misty Day,Rose's Jewel
2010103783,ロゴタイプ,https://db.netkeiba.com/horse/ped/2010103783/,PASS,ローエングリン,Singspiel,In the Wings In The Wings,Sadler's Wells,Northern Dancer,Fairy Bridge,High Hawk,Shirley Heights,Sunbittern,Glorious Song,Halo,Hail to Reason,Cosmah,Ballade,Herbager,Miss Swapsco,カーリング Carling,Garde Royale,Mill Reef,Never Bend,Milan Mill,Royal Way,Sicambre,Right Away,Corraleja,Carvin,マリーノ,Coraline,Darling Dale,Tyrant,Treat,ステレオタイプ,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,スターバレリーナ,Risen Star,Secretariat,Bold Ruler,Somethingroyal,Ribbon,His Majesty,Break Through,ベリアーニ Berliani,Nureyev,Northern Dancer,Special,Eleven Pleasures,What a Pleasure,Eleven Keys
2008103265,デウスウルト,https://db.netkeiba.com/horse/ped/2008103265/,PASS,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Miesque,Nureyev,Northern Dancer,Special,Pasadoble,Prove Out,Santa Quilla,マンファス Manfath,ラストタイクーン Last Tycoon,トライマイベスト,Northern Dancer,Sex Appeal,Mill Princess,Mill Reef,Irish Lass,Pilot Bird,Blakeney,Hethersett,Windmill Girl,The Dancer,Green Dancer,Khazaeen,バプティスタ,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,ビーバップ,アンバーシャダイ,ノーザンテースト,Northern Dancer,Lady Victoria,クリアアンバー,Ambiopoise,One Clear Call,ビバールクイン,レイズアボーイ,Raise a Native,Masked Lady,ネヴアーキヤツチ,Never Say Die,Eilan Aigas
2010110107,ヒュウマ,https://db.netkeiba.com/horse/ped/2010110107/,PASS,Any Given Saturday,Distorted Humor,フォーティナイナー Forty Niner,Mr. Prospector,Raise a Native,Gold Digger,File,Tom Rolfe,Continue,Danzig's Beauty,Danzig,Northern Dancer,Pas de Nom,Sweetest Chant,Mr. Leader,Gay Sonnet,Weekend in Indy,A.P. Indy,Seattle Slew,Bold Reasoning,My Charmer,Weekend Surprise,Secretariat,Lassie Dear,Whow,Spectacular Bid,Bold Bidder,Spectacular,Hooplah,Hillary,Beadah,Moravia,A.P. Indy,Seattle Slew,Bold Reasoning,Boldnesian,Reason to Earn,My Charmer,Poker,Fair Charmer,Weekend Surprise,Secretariat,Bold Ruler,Somethingroyal,Lassie Dear,Buckpasser,Gay Missile,Gold Canyon,Mr. Prospector,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Golden Treat,Theatrical,Nureyev,ツリーオブノレッジ,Golden Dust,Dusty Canyon,Turn to Joy
2008101384,メイショウナルト,https://db.netkeiba.com/horse/ped/2008101384/,PASS,ハーツクライ,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,アイリッシュダンス,トニービン Tony Bin,カンパラ,Kalamoun,State Pension,Severn Bridge,Hornbeam,Priddy Fair,ビューパーダンス Buper Dance,Lyphard,Northern Dancer,Goofed,My Bupers,Bupers,Princess Revoked,スターペスミツコ,カーネギー Carnegie,Sadler's Wells,Northern Dancer,Nearctic,Natalma,Fairy Bridge,Bold Reason,Special,Detroit,Riverman,Never Bend,River Lady,Derna,Sunny Boy,Miss Barberie,マーチンミユキ,マルゼンスキー,Nijinsky,Northern Dancer,Flaming Page,シル,Buckpasser,Quill,ミユキカマダ,ダイアトム,Sicambre,Dictaway,ヤヨイカマダ,チャイナロック,コランディア
2009106558,アイスフォーリス,https://db.netkeiba.com/horse/ped/2009106558/,PASS,ステイゴールド,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,ゴールデンサッシュ,ディクタス Dictus,Sanctus,Fine Top,Sanelta,Doronic,Worden,Dulzetta,ダイナサッシュ,ノーザンテースト,Northern Dancer,Lady Victoria,ロイヤルサッシュ,Princely Gift,Sash of Honour,リリウム,クロフネ,フレンチデピュティ French Deputy,Deputy Minister,Vice Regent,Mint Copy,Mitterand,Hold Your Peace,Laredo Lass,ブルーアヴェニュー Blue Avenue,Classic Go Go,Pago Pago,Classic Perfection,Eliza Blue,Icecapade,コレラ,ベゴニア Begonia,Plugged Nickle,Key to the Mint,Graustark,Key Bridge,Toll Booth,Buckpasser,Missy Baba,Dahlia,Vaguely Noble,ヴィエナ,Noble Lassie,Charming Alibi,Honeys Alibi,Adorada
2010103776,ユールシンギング,https://db.netkeiba.com/horse/ped/2010103776/,PASS,シンボリクリスエス,Kris S.,Roberto,Hail to Reason,Turn-to,Nothirdchance,Bramalea,Nashua,Rarelea,Sharp Queen,Princequillo,Prince Rose,Cosquilla,Bridgework,Occupy,Feale Bridge,Tee Kay,Gold Meridian,Seattle Slew,Bold Reasoning,My Charmer,Queen Louie,Crimson Satan,Reagent,Tri Argo,Tri Jet,Jester,Haze,Hail Proudly,Francis S.,Spanglet,ジョリーノエル,スペシャルウィーク,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Cosmah,Wishing Well,Understanding,Mountain Flower,キャンペンガール,マルゼンスキー,Nijinsky,シル,レディーシラオキ,セントクレスピン,ミスアシヤガワ,クリスマスツリー,トニービン Tony Bin,カンパラ,Kalamoun,State Pension,Severn Bridge,Hornbeam,Priddy Fair,オークツリー,リアルシャダイ,Roberto,Desert Vixen,シャダイアイバー,ノーザンテースト,サワーオレンジ
2011106350,マイネルフロスト,https://db.netkeiba.com/horse/ped/2011106350/,PASS,ブラックタイド,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,ウインドインハーヘア Wind in Her Hair,Alzao,Lyphard,Northern Dancer,Goofed,Lady Rebecca,Sir Ivor,Pocahontas,Burghclere,Busted,Crepello,Sans le Sou,Highclere,Queen's Hussar,Highlight,スリースノーグラス,グラスワンダー,Silver Hawk,Roberto,Hail to Reason,Bramalea,Gris Vitesse,Amerigo,Matchiche,Ameriflora,Danzig,Northern Dancer,Pas de Nom,Graceful Touch,His Majesty,Pi Phi Gal,ダイヤモンドスノー,Dayjur,Danzig,Northern Dancer,Pas de Nom,Gold Beauty,Mr. Prospector,Stick to Beauty,Ancient Regime,Olden Times,Relic,Djenne,Caterina,Princely Gift,Radiopye
