horse_id,horse_name,ancestor,occurrences,cross_pattern,paths,total_blood_share_pct,wright_F_contribution_pct,is_sire_dam_common
2010105964,マイネルミラノ,Hail to Reason,2,4x5,SSSS|DDSSS,9.375,0.390625,True
2010105964,マイネルミラノ,Northern Dancer,3,4x5x5,SDDSS|DSSS|DDDSS,12.5,0.5859375,True
2010104298,ラブリーデイ,Northern Dancer,3,5x5x5,SSDSS|SDSSS|DSDSS,9.375,0.390625,True
2008105362,ナカヤマナイト,Northern Dancer,2,5x5,SDDSS|DDSSS,6.25,0.1953125,True
2010103783,ロゴタイプ,Cosmah,2,4x5,SSDSD|DSSD,9.375,0.390625,True
2010103783,ロゴタイプ,Hail to Reason,2,4x5,SSDSS|DSSS,9.375,0.390625,True
2010103783,ロゴタイプ,Halo,2,3x4,SSDS|DSS,18.75,1.5625,True
2010103783,ロゴタイプ,Northern Dancer,2,5x5,SSSSS|DDDSS,6.25,0.1953125,True
2008103265,デウスウルト,Northern Dancer,3,5x5x5,SSDSS|SDSSS|DDSSS,9.375,0.390625,True
2008103265,デウスウルト,Raise a Native,2,4x5,SSSS|DDDSS,9.375,0.390625,True
2010110107,ヒュウマ,A.P. Indy,2,2x3,SDS|DS,37.5,6.25,True
2010110107,ヒュウマ,Bold Reasoning,2,4x5,SDSSS|DSSS,9.375,0.390625,True
2010110107,ヒュウマ,Danzig,2,3x4,SSD|SSDS,18.75,0.0,False
2010110107,ヒュウマ,Gold Digger,2,4x5,SSSSD|DDSD,9.375,0.390625,True
2010110107,ヒュウマ,Lassie Dear,2,4x5,SDSDD|DSDD,9.375,0.390625,True
2010110107,ヒュウマ,Mr. Prospector,2,3x4,SSSS|DDS,18.75,1.5625,True
2010110107,ヒュウマ,My Charmer,2,4x5,SDSSD|DSSD,9.375,0.390625,True
2010110107,ヒュウマ,Raise a Native,2,4x5,SSSSS|DDSS,9.375,0.390625,True
2010110107,ヒュウマ,Seattle Slew,2,3x4,SDSS|DSS,18.75,1.5625,True
2010110107,ヒュウマ,Secretariat,2,4x5,SDSDS|DSDS,9.375,0.390625,True
