line_tag,founders,broad_parent,rule
Deep Impact,Deep Impact,Sunday Silence,nearest recognized ancestor on paternal branch
Stay Gold,Stay Gold,Sunday Silence,nearest recognized ancestor on paternal branch
Heart's Cry,Heart's Cry,Sunday Silence,nearest recognized ancestor on paternal branch
Sunday Silence,Sunday Silence,Halo,nearest recognized ancestor on paternal branch
King Kamehameha,King Kamehameha,Kingmambo,nearest recognized ancestor on paternal branch
Kingmambo,Kingmambo,Mr. Prospector,nearest recognized ancestor on paternal branch
Mr. Prospector,Mr. Prospector,Raise a Native,nearest recognized ancestor on paternal branch
Sadler's Wells,Sadler's Wells,Northern Dancer,nearest recognized ancestor on paternal branch
Danzig,Danzig,Northern Dancer,nearest recognized ancestor on paternal branch
Nijinsky,Nijinsky,Northern Dancer,nearest recognized ancestor on paternal branch
Nureyev,Nureyev,Northern Dancer,nearest recognized ancestor on paternal branch
Lyphard,Lyphard,Northern Dancer,nearest recognized ancestor on paternal branch
Northern Dancer,Northern Dancer,,nearest recognized ancestor on paternal branch
Storm Cat,Storm Cat,Northern Dancer,nearest recognized ancestor on paternal branch
Deputy Minister,Deputy Minister,Northern Dancer,nearest recognized ancestor on paternal branch
A.P. Indy,A.P. Indy,Seattle Slew,nearest recognized ancestor on paternal branch
Seattle Slew,Seattle Slew,,nearest recognized ancestor on paternal branch
Roberto,Roberto,Hail to Reason,nearest recognized ancestor on paternal branch
Halo,Halo,Hail to Reason,nearest recognized ancestor on paternal branch
Hail to Reason,Hail to Reason,,nearest recognized ancestor on paternal branch
Tony Bin,Tony Bin,,nearest recognized ancestor on paternal branch
Raise a Native,Raise a Native,Native Dancer,nearest recognized ancestor on paternal branch
Native Dancer,Native Dancer,,nearest recognized ancestor on paternal branch
Nasrullah,Nasrullah,,nearest recognized ancestor on paternal branch
Nearco,Nearco,,nearest recognized ancestor on paternal branch
